date,location,matched_cities,ratio,median_price,monthly_payment,median_hhi,interest_rate,cities_matched
2017-01-01,"Aberdeen, WA","Aberdeen, WA",20.01%,171000.0,678.591650369624,40702.0,4.32,1
2018-01-01,"Aberdeen, WA","Aberdeen, WA",23.47%,209900.0,800.7079863908225,40948.0,3.99,1
2019-01-01,"Aberdeen, WA","Aberdeen, WA",25.23%,229225.0,934.615468616971,44444.0,4.55,1
2020-01-01,"Aberdeen, WA","Aberdeen, WA",25.77%,244950.0,906.4097212168917,42203.0,3.74,1
2021-01-01,"Aberdeen, WA","Aberdeen, WA",24.69%,279000.0,901.764057711403,43836.0,2.67,1
2022-01-01,"Aberdeen, WA","Aberdeen, WA",31.93%,389000.0,1330.5658937737514,50008.0,3.11,1
2023-01-01,"Aberdeen, WA","Aberdeen, WA",46.12%,399900.0,2005.3098194831118,52181.0,6.42,1
2017-01-01,"Abilene, TX","Abilene, TX",15.49%,149900.0,594.8589964351265,46093.0,4.32,1
2018-01-01,"Abilene, TX","Abilene, TX",17.17%,178875.0,682.3565558154282,47689.0,3.99,1
2019-01-01,"Abilene, TX","Abilene, TX",19.31%,199900.0,815.049109724212,50659.0,4.55,1
2020-01-01,"Abilene, TX","Abilene, TX",18.20%,215300.0,796.6932556766557,52518.0,3.74,1
2021-01-01,"Abilene, TX","Abilene, TX",14.73%,207000.0,669.050752495557,54493.0,2.67,1
2022-01-01,"Abilene, TX","Abilene, TX",17.64%,254700.0,871.195715023585,59254.0,3.11,1
2023-01-01,"Abilene, TX","Abilene, TX",26.87%,280054.0,1404.338675132592,62720.0,6.42,1
2017-01-01,"Ada, OK","Ada, OK",18.38%,143600.0,569.8582514215088,37197.0,4.32,1
2018-01-01,"Ada, OK","Ada, OK",18.78%,158900.0,606.1576895545579,38736.0,3.99,1
2019-01-01,"Ada, OK","Ada, OK",17.32%,142200.0,579.7898119198746,40175.0,4.55,1
2020-01-01,"Ada, OK","Ada, OK",14.49%,133975.0,495.75930761393374,41070.0,3.74,1
2021-01-01,"Ada, OK","Ada, OK",9.53%,109900.0,355.21100337807593,44721.0,2.67,1
2022-01-01,"Ada, OK","Ada, OK",19.05%,219400.0,750.4528459999,47264.0,3.11,1
2023-01-01,"Ada, OK","Ada, OK",26.44%,227600.0,1141.3066139393757,51792.0,6.42,1
2017-01-01,"Adrian, MI","Adrian, MI",18.34%,139975.0,555.4729021081176,36336.0,4.32,1
2018-01-01,"Adrian, MI","Adrian, MI",17.27%,139900.0,533.6781672037927,37075.0,3.99,1
2019-01-01,"Adrian, MI","Adrian, MI",22.28%,165000.0,672.751891468209,36236.0,4.55,1
